id,name,screen_name
14334547,jensmanuel,Jens Manuel Krogstad
76228303,SolomonMg,Solomon Messing
195562799,MikeLipka,Michael Lipka
15475999,MonicaRAnders,Monica Anderson
259550453,maeveyd,Maeve Duggan
175235266,bmoham,Besheer Mohamed
3015897974,pewmethods,Pew Research Methods
1710714792,kim_c_parker,Kim Parker
18951455,asmitch,Amy Mitchell
751635697,jmhorowitz78,Juliana Horowitz
1278778351,WendyRWang,Wendy Wang
486871713,AnaGonzalezB_MX,Ana Gonzalez
1549124424,james_e_bell,James Bell
1006766551,DrGMLivingston,Gretchen Livingston
1379574128,jocelynkiley,Jocelyn Kiley
2350406162,r_fry1,Richard Fry
1535034930,alec_h_tyson,Alec Tyson
380107450,jhamarmartinez,JessicaHamarMartinez
108672937,c_deane,Claudia Deane
1400690161,paultaylordc,Paul Taylor
1400690161,paultaylordc,Paul Taylor
1428670028,DrewDeSilver,Drew DeSilver
148042101,erinoconn,Erin O'Connell
1561312880,AndrewKohut1,Andrew Kohut
71643224,conradhackett,Conrad Hackett
1131922207,GregSmith_Polls,Greg Smith
374716941,RakeshKochhar,Rakesh Kochhar
14134676,Amanda_Lenhart,Amanda Lenhart
1265726480,FactTank,PewResearch FactTank
1139903348,MichaelDimock,Michael Dimock
16129526,lrainie,Lee Rainie
525334283,RichardWike,Richard Wike
116775999,CarrollDoherty,Carroll Doherty
6479682,sarakgoo,Sara Kehaulani Goo
831470472,pewglobal,PewResearch Global
426041590,PewHispanic,PewResearch Hispanic
356872253,allthingscensus,All Things Census
18143413,mhugolopez,Mark Hugo Lopez
111339670,pewjournalism,PewResearch Journo
36462231,PewReligion,PewResearch Religion
17071048,pewinternet,PewResearch Internet
