id,name,screen_name
14089195,pitchfork,Pitchfork
14120151,foursquare,Foursquare
376115787,SpotifyStatus,Spotify Status
239760107,YTCreators,YouTube Creators
5943942,SoundCloud,SoundCloud
10228272,YouTube,YouTube
783214,twitter,Twitter
17230018,Spotify,Spotify
18224206,SteveErrey,Steve Errey
254098644,MannyPacquiaoTR,Manny Pacquiao
252882302,bombfell,Bombfell
105082936,URBAN_RESEARCH,URBAN RESEARCH
140705648,UR__Store,URBAN RESEARCH Store
163793779,KBF_tweet,KBF
551679714,KBF_plus,KBF
11094232,eldsjal,Daniel Ek
321908821,Spotifyjobs,Join the band!
114262960,RoxysGrilledChz,Roxy'sGrilledCheese
122615513,whatmovesU,Movement Lifestyle
82944021,marrrrriel,Mariel Madrid
81940189,KeoneMadrid,Keone Madrid
392449242,BC_GLC,BC GLC
17023762,RGA,R/GA
36080231,BBDOWorldwide,BBDO Worldwide
16365983,hugeinc,Huge
8841372,SAI,BI Tech
19407053,Entrepreneur,Entrepreneur
91478624,Forbes,Forbes
20562637,businessinsider,Business Insider
2787095077,clarissamodde,Clarissa Modde
2760394893,ramseys06,Sarah
2792544031,kaitangard,K
2794393488,maddyfitzger,Maddy Fitzgerald
635044044,GillianL321,Gillian Lever
982594374,sejackson33,Sarah Jackson
557979110,tyler_tombs,Tyler Tombs
346742249,ZARA,ZARA
16288392,gallaugher,John Gallaugher
55081432,_cindycow,cindy
31404918,nikkimiruiz,NIKKI RUIZ
31404918,nikkimiruiz,NIKKI RUIZ
380433983,AnnaAkana,Anna Akana
25084660,arzE,Ezra Koenig
1416289596,tbhjuststop,no
17351972,nikestore,Nike.com
200163448,TheAcademy,The Academy
428333,cnnbrk,CNN Breaking News
326359913,CHANEL,CHANEL
1029492902,VideoCentraI,Video Central
15224867,andersoncooper,Anderson Cooper
192354884,maudeapatow,Maude Apatow
14718073,NOWNESS,NOWNESS
17057271,metmuseum,metmuseum
15057943,MuseumModernArt,Museum of Modern Art
132185465,CondeNastCareer,Cond Nast Careers
127400802,RoAndCoStudio,RoAndCo
22830044,rumineely,Rumi Neely
17601969,jagjaguwar,Jagjaguwar
19784831,wwd,WWD
114685387,DavidRoads,Motivational Quotes
595211619,Fit_Motivator,Fitness Motivator
310730506,SkyVibess,Sky Vibes  
1516331611,SunniesStudios,Sunnies Studios
253679094,BCRecreation,BC Campus Recreation
950084893,PULSEProgramBC,PULSE Program
64799496,volcanochoir,Volcano Choir
1783802124,jonathanfong17,Jonathan Fong
40090727,ChiaraFerragni,Chiara Ferragni
1426896986,EricaGomez,Erica Gomez
24165058,rogueonline,Rogue Magazine
293405298,Papao213,Paolo Monasterio
65120103,BestCoast,Best Coast
74701069,kenzo,KENZO
3108351,WSJ,Wall Street Journal
58462957,CFDA,CFDA
14603517,fashionintern,Fashion Internships
369514419,LANVINofficial,LANVIN
972651,mashable,Mashable
437086963,31philliplim,3.1 Phillip Lim
380277329,3_Floor,THREE FLOOR Fashion
