id,name,screen_name
9300262,politico,POLITICO
32359921,EconBizFin,The Economist
1969318148,tejay_van,Tejay van Garderen
407886071,bbernst,Ben Bernstein
583938358,RobertJShiller,Robert J Shiller
2303751216,FiveThirtyEight,FiveThirtyEight
376115787,SpotifyStatus,Spotify Status
16288392,gallaugher,John Gallaugher
7215512,grist,grist
430921242,spurs_songs,Spurs Songs
15164565,Slate,Slate
3703,stephenlauck,Stephen Lauck
19713018,MartinCloake,Martin Cloake
18952476,briangaar,Brian Gaar
1400265918,handturky,nick
750773413,TheRaceDraft,Racial Draft
29499411,HenryFyfe,Henry Fyfe
23231331,jfi,Jeff Iacono
41267854,ecdysone,eric saxby
23654825,thatdjgallo,DJ Gallo
85714190,DJGalloEtc,DJ Gallo
32070857,SVBizMalcolm,Malcolm Bordelon
292297757,RichWisken,Rich Wisken
20187034,ryanpitchfork,Ryan Schreiber
347988487,JenEnRoute,Jen M
14235263,bRoundy,BRAINS! Roundy
889290050,jeffreyiacono,Jeff Iacono
14137941,EvanTahler,Evan
227557159,mistrgroves,Chris Groves
358075015,UnderArmourUK,Under Armour UK
584198802,DavidGrann,David Grann
20000626,dangerbird,dangerbird records
43089674,BCAlumni,BC Alumni
599509366,MaximusCarlson,Max Carlson
472548910,mparker2384,Michael Parker
179738160,Team_Marquis9,EK
230013639,tom_carroll92,Tom Carroll
22647237,essentialmix,essential mix
61049122,petetong,Pete Tong mbe
28987332,nickyromero,Nicky Romero
208648549,MostWowFacts,Most Wow Facts
14285024,krohrbaugh,kevin_rohrbaugh
19844598,sfmelani,Melani
43832315,cshalvey,Colm Shalvey
389671287,mtroby1,Matthew Roby
740336334,GarethBale11,Gareth Bale
119336026,THSTOfficial,THST Official
946554942,BCDieHards,BC Eagles Die Hards
1007350806,DanRusanowsky,Dan Rusanowsky
18170944,sfbeerweek,sfbeerweek
16745753,SBNationNHL,SB Nation NHL
20263710,rabois,Keith Rabois
32122637,EatThisNotThat,Eat This, Not That!
716285318,MensHealthHowTo,Men's Health How To
250288654,MensHealthStyle,Men's Health Style
115764455,GuyGourmet,MensHealthFood
494286783,MensHealthRadio,Men's Health Live
32128783,DaveZinczenko,Dave Zinczenko
25093616,MensHealthMag,Men's Health Mag
176831010,Megalodork,Silent Hill Rabbit
23421915,DJFitch,Dan Fitch
551405395,M_Ryan02,Matt Ryan
474388213,MarinaGirlSays,Marina Girl
17200201,sfspur,Steve Pritchard
119593082,FOXSoccer,FOX Soccer
8143682,jure,Jure Leskovec
17299399,sfsanta,SF SantaCon
148008091,bobwiederhold,Bob Wiederhold
285349280,Tedescau,Austin Tedesco
870298340,BCBradBates,Brad Bates
557944179,GavinonCurrent,Gavin Newsom Show
277204616,HoyaEagle,Mike Gib
60642052,VentureBeat,VentureBeat
14561327,dhh,DHH
5746452,waltmossberg,Walt Mossberg
346736834,RealEagleAction,EagleAction
12,jack,Jack
16043994,jeffpatton,Jeff Patton
19614344,WiredResearch,Wired Research
586,sacca,Chris Sacca
2529971,cdixon,Chris Dixon
2426,monteiro,Mike Monteiro
5741722,nprpolitics,NPR Politics
