id,name,screen_name
196168350,AnnCoulter,Ann Coulter
2908170952,DiamondandSilk,Diamond and Silk
34852681,KatrinaCampins,KATRINA CAMPINS
25429371,KatrinaPierson,Katrina Pierson
52136185,MichaelCohen212,Michael Cohen
2813604714,TrumpFerryPoint,Trump Golf Links
311095986,roedigerj,Joe Roediger
15513604,foxandfriends,FOX & Friends
6742412,jennybethm,Jenny Beth Martin
108471631,MELANIATRUMP,MELANIA TRUMP
36220671,LeezaGibbons,Leeza Gibbons
30395398,ShawnJohnson,Shawn Johnson
246500501,GeraldoRivera,Geraldo Rivera
2174527993,TrumpIntRealty,Trump Int'l Realty
14839147,ericbolling,Eric Bolling
322293052,RealRomaDowney,Roma Downey
316865635,MarkBurnettTV,Mark Burnett
26829777,garyplayer,Gary Player
241747585,IamStevenT,Steven Tyler
248900032,MagicJohnson,Earvin Magic Johnson
1222639789,VinceMcMahon,Vince McMahon
620571475,DanScavino,Daniel Scavino Jr.
18646108,BretBaier,Bret Baier
237920783,TrumpToronto,Trump Toronto Hotel
191726210,TrumpPanama,Trump Hotel Panama
119157187,TrumpWaikiki,Trump Waikiki
20535237,TrumpSoHo,Trump SoHo
633797941,TrumpDoral,Trump National Doral
1265452904,TrumpNationalNY,Trump National
726414091,Trump_Charlotte,Trump National CLT
82504071,TrumpLasVegas,Trump Vegas Hotel
67119128,TrumpCollection,Trump Hotels
48223726,TrumpChicago,Trump Chicago Hotel
1013672084,TrumpGolfDC,Trump National DC
29562422,TrumpGolfLA,Trump National LA
184890642,TrumpNewYork,Trump New York 
835721828,TrumpTowerNY,Trump Tower New York
39349894,EricTrump,Eric Trump
18227519,morningmika,Mika Brzezinski
21619519,JoeNBC,Joe Scarborough
23970102,oreillyfactor,Bill O'Reilly
16031927,greta,Greta Van Susteren
216299334,piersmorgan,Piers Morgan
29856819,theRealKiyosaki,Robert T. Kiyosaki
39344374,DonaldJTrumpJr,Donald Trump Jr.
52544275,IvankaTrump,Ivanka Trump
