id,name,screen_name
60783724,ianbremmer,ian bremmer
224,davepell,Dave Pell
595515713,vj44,Valerie Jarrett
17533837,mkorcuska,Michael Korcuska
17873304,peteflint,Pete Flint
64455095,mickbirch,Michael Birch
2178012643,balajis,Balaji S. Srinivasan
1132010306,expa,Expa
19966557,alaindebotton,Alain de Botton
237087413,rohan__silva,Rohan Silva
52613182,Fabricioleon,Fabricio Altamirano
16421809,cindymclaughlin,Cindy McLaughlin
15937226,dtunkelang,Daniel Tunkelang
13031052,seanwhite,Sean White
52378533,JeffGlueck,Jeff Glueck
99142604,CharlieAWS,Charlie Bell
15528047,jrgoldman,jrgoldman
43643354,mkyddlee,michelle kydd lee
20571756,satyanadella,Satya Nadella
15828408,SusanWojcicki,Susan Wojcicki
357312062,Bitcoin,Bitcoin
4446461,mejoff,joff redfern
125304737,blockchain,Blockchain
5376902,werdelin,Henrik Werdelin
1485444793,nickdirks,Nicholas B. Dirks
18770865,Bersin,Bersin_by_Deloitte
19720395,IndexVentures,Index Ventures
185808487,kpcb,Kleiner Perkins
33846451,Accel,Accel Partners
541042800,foundersfund,Founders Fund
37605443,smithmegan,Megan Smith
16902677,christinaallen,Christina Allen
15756802,soniaarrison,Sonia Arrison
7640782,azeem,Azeem Azhar
28582680,bgarlinghouse,Brad Garlinghouse
3107986683,byron_auguste,Byron Auguste
15922433,scottharrison,Scott Harrison
232681564,tomfrange,Tom Frangione
6730222,hblodget,Henry Blodget
299949309,BNarasin,Ben Narasin
6820932,ghc,Grace Hopper (GHC)
14075836,anitaborg_org,Anita Borg Institute
240254617,codeschool,Code School
26829176,NCWIT,NCWIT
44491851,WITWomen,Women in Technology
22756947,womenintech,Women in Technology
16014840,GirlsinTech,Girls in Tech
166315104,girldevelopit,Girl Develop It
345673106,WomenWhoCode,Women Who Code
430995737,GirlsWhoCode,Girls Who Code
2652060043,HCFellows,Henry Crown Fellows
9676152,SlideShare,LinkedIn SlideShare
850107536,codeorg,Code.org
15319103,cmschroed,Chris Schroeder
140179956,Ali_Wyne,Ali Wyne
14225267,drewhouston,Drew Houston
38927264,RyanBethencourt,Ryan Bethencourt
14511951,HuffingtonPost,Huffington Post
9529752,nrmehta,Nick Mehta
5392522,NPR,NPR
52171246,nikesharora,Nikesh Arora
226348151,LinkedInPulse,LinkedIn Pulse
5741722,nprpolitics,NPR Politics
10810102,JohnCleese,John Cleese
5699,stewart,Stewart Butterfield
2307692107,Blockstream,Blockstream
15919988,xprize,XPRIZE
14251443,danroth,Daniel Roth
80651045,cityofpaloalto,City of Palo Alto
7589582,chrisyeh,Chris Yeh
529706955,SallyOsberg,Sally Osberg
14710129,PeterDiamandis,Peter Diamandis
13479,photomatt,Matt Mullenweg
11435642,jeffjarvis,Jeff Jarvis
12217,tconrad,Tom Conrad
7689112,philiprosedale,Philip Rosedale
20952222,timwestergren,Tim Westergren
26616341,AriaIrene,Aria Finger
61297437,nancylublin,Nancy Lublin
4603771,shafferj,Justin Shaffer
3242411,cbeard,Chris Beard
11846242,ethanbeard,ethanbeard
18622869,ezraklein,Ezra Klein
24789175,JamesFallows,James Fallows
591185779,IntuitBrad,Brad Smith
27694273,MikeGamson,Mike Gamson
26819104,jonfortt,Jon Fortt
15705567,rafat,Rafat Ali
20527337,waltroloson,Walt Roloson
6323702,igsmith,Ian Smith
771152516,RoKhannaUSA,Ro Khanna
9005362,alisonrosenthal,alison rosenthal
1945542410,moritzKBE,Michael
1041841,tcoppel,Toby Coppel
8962882,Jessicalessin,Jessica Lessin
16911564,JulesHanna,julie hanna
114602310,amir,Amir Efrati
1237411,davidmarcus,David Marcus
691593,mjones,Michael Jones
2309248058,EthereumNews,Ethereum contract
2324208733,EthereumSV,ETH Silicon Valley
264475035,ethereum,Ethereum Development
2311915106,ethereumreport,Ethereum Report
2312333412,ethereumproject,Ethereum
1668,gustaf,Gustaf Alstrmer
219029005,contently,Contently
1705885393,GrowthHackers,GrowthHackers
17088394,JamesCurrier,JamesCurrier
6213582,wences,Wences Casares
36313777,stan_chudnovsky,stan chudnovsky
8841372,SAI,BI Tech
9300262,politico,POLITICO
2890961,Gizmodo,Gizmodo
3439831,8en,Ben Silbermann
409274130,tonyatskype,Tony Bates
24904119,tommydavidson,Tom Davidson
7905122,guardiantech,Guardian Tech
73147282,HuffPostTech,HuffPost Tech
19661363,nytimestech,NYT Technology
14434070,nytimesbits,NYTimes Bits
10711,Harjeet,Harjeet
22937232,mabb0tt,michael abbott
19224439,Nouriel,Nouriel Roubini
5512832,Rich_Barton,Rich Barton
236526490,LHSummers,Lawrence H. Summers
1191881,alanb42,Alan Braverman
1605,sama,Sam Altman
14196449,jackabraham,Jack Abraham
19908394,mavolpi,Mike Volpi
15414807,johnmaeda,John Maeda
668473,sampullara,Sam Pullara
16018081,ansanelli,Joseph Ansanelli
14159158,jerrychen,Jerry Chen
4939401,patrickc,Patrick Collison
22001973,GuardianBooks,Guardian Books
16973333,Independent,The Independent
23975060,LRB,London Review (LRB)
788524,guardiannews,Guardian news
1434251,nytimesbooks,New York Times Books
16955991,Salon,Salon.com
87818409,guardian,The Guardian 
11178902,nybooks,NY Review of Books
397673792,hosain,Hosain Rahman
3321091,jslavet,James Slavet
8925322,crazyfoo,Josh McFarland
35773039,TheAtlantic,The Atlantic
158414847,TheDailyShow,The Daily Show
41814169,FareedZakaria,Fareed Zakaria
166692856,ibringtraffic,Andy Johns
59157393,tomfriedman,Thomas L. Friedman
15756974,mhelft,mhelft
14477695,mike_greenfield,Mike Greenfield
11597512,eshmu,eshmu
19905542,dannyrimer,danny rimer
2244340904,Recode,Re/code
126027490,heiligerj,Jonathan Heiliger
20032100,TED_Tweets,TED Tweets
14130366,sundarpichai,sundarpichai
28405191,martingiles,Martin Giles
14910629,annimaniac,Ann Miura-Ko
197505545,Arubin,Andy Rubin
34552016,angusdav,Angus Davis 
9095022,michaelpcassidy,Mike Cassidy
16896485,Inc,Inc.
40315309,simonrothman,simon rothman
14097951,jguynn,Jessica Guynn
13298072,TeslaMotors,Tesla Motors
23289019,moskov,Dustin Moskovitz
16581604,MikeBloomberg,Mike Bloomberg
14138167,mmccue,Mike McCue
44196397,elonmusk,Elon Musk
15469101,EvelynRusli,Evelyn Rusli
22387220,qhardy,Quentin Hardy
6535212,eladgil,Elad Gil
21576543,tfadell,Tony Fadell
15808765,CoryBooker,Cory Booker
14253109,adambain,adam bain
1636590253,tim_cook,Tim Cook
7040932,tonyhsieh,Zappos.com CEO -Tony
15076390,Padmasree,Padmasree
1364930179,WarrenBuffett,Warren Buffett
17877122,clairecm,Claire Cain Miller
291,goldman,Jason Goldman
763893,chudson,Charles Hudson
997629601,danieldennett,Daniel Dennett
19744978,LeenaRao,Leena K. Rao
14378113,DanielPink,Daniel Pink
15143478,RichardDawkins,Richard Dawkins
116994659,SamHarrisOrg,Sam Harris
769254,paultoo,Paul Buchheit
7456262,btaylor,Bret Taylor
525785424,DanTGilbert,Daniel Gilbert
107225267,sapinker,Steven Pinker
17997789,danariely,Dan Ariely
106204123,JonHaidt,Jonathan Haidt
652193,mgsiegler,M.G. Siegler
11441582,mkjung,Mike Jung
278401829,AliGPincus,Alison G Pincus
5861822,moia,Marko Ahtisaari
770729,lizgannes,Liz Gannes
16246929,danprimack,Dan Primack
20890435,nlevchin,nellie levchin
46063,hunterwalk,Hunter Walk
116988614,foundersatwork,Jessica Livingston
115882166,Donahoe_John,John Donahoe
12625872,blakekrik,Blake Krikorian
2893971,gigaom,Gigaom
2182641,stevenbjohnson,Steven Johnson
15928389,johnhering,johnhering
3674531,jeremyl,Jeremy Levine
5746402,allthingsd,AllThingsD
419710142,PandoDaily,Pando
451586190,rupertmurdoch,Rupert Murdoch 
15492359,TEDTalks,TED Talks
36823,anildash,Anil Dash
11094232,eldsjal,Daniel Ek
17493187,aileenlee,aileenlee
6036422,jimihendrixlive,Jim Breyer
1344951,WIRED,WIRED
369063212,LinkedIn4Good,LinkedIn for Good
22084935,megarling,Meg Garlinghouse
400532473,Fakechamath,FakeChamath
1877831,nytimesworld,New York Times World
64844802,a16z,a16z
742143,BBCWorld,BBC News (World)
17471979,NatGeo,National Geographic
14075928,TheOnion,The Onion
14293310,TIME,TIME.com
23976717,jeremysliew,jeremy liew
74130577,emilychangtv,Emily Chang
1652541,Reuters,Reuters Top News
5402612,BBCBreaking,BBC Breaking News
296453816,LAAF,Arrillaga-Andreessen
3108351,WSJ,Wall Street Journal
93957809,ericschmidt,Eric Schmidt
807095,nytimes,The New York Times
14677919,NewYorker,The New Yorker
33792634,andrewrsorkin,Andrew Ross Sorkin
21449749,davegoldberg,Dave Goldberg
781293,martinvars,Martin Varsavsky
322,twang,Ted Wang
13293162,satyap,Satya Patel
17595439,chr1sa,Chris Anderson
334640653,wrappcorp,Wrapp
14165865,dosomething,DoSomething.org
17133953,HopeStreetGroup,Hope Street Group
380,kevin,Kevin S.
14875576,arachleff,Andy Rachleff
5988062,TheEconomist,The Economist
914061,levie,Aaron Levie
6210962,geoff_yang,Geoff Yang
16227673,dfjjosh,Josh Stein
94143715,KatieS,Katie Jacobs Stanton
20339060,trueventures,True Ventures
39507511,epaley,Eric Paley
22699508,gideonyu,Gideon Yu
324,chrisfralic,Chris Fralic
