id,name,screen_name
204604167,omarxmc,Omar Abboud
2516568319,TheFlyingSayres,The Flying Sayre's
22047181,bkflea,Brooklyn Flea
282653145,smorgasburg,Smorgasburg
446745536,RyanSmith1531,Ryan Smith
1202090827,bower,Bower
309528017,npmjs,npmbot
2266580234,gulpjs,gulp
588938505,yeoman,Yeoman
17911526,notbrent,brent
15092452,samykamkar,Samy Kamkar
2404966634,BuzzFeedJS,BuzzFeedJS
459275531,JavaScriptDaily,JavaScript Live
150363306,icofyre,Patrick Camacho
2987889352,jeg460,James Gips
14541402,mlevchin,Max Levchin
14521411,floydophone,Pete Hunt
2414834689,KinjaDeals,Kinja Deals
16054093,theREALmarvin,marvin chow
22386062,steveklabnik,strata
2429104406,Crtlego,Cyrus Tabrizi
8496762,tylercowen,tylercowen
183749519,paulg,Paul Graham
2529971,cdixon,Chris Dixon
2699160288,upcase,Upcase
106086334,Vjeux,Vjeux
18022416,sebmarkbage,Sebastian Markbge
6083342,bascule,Tony Arcieri
14561327,dhh,DHH
14692016,JereDoyle,Jere Doyle
8526432,wycats,Yehuda Katz
17569400,RileySoward,Riley Soward
311240662,VeronikaFojtu,VFojtu
2382947586,MollyMillerUSA,MollyMiller
2798297791,csuttlehan,Caroline Suttlehan
437172670,_J_M_R,james reed
525054568,chris_hermida,Chris Hermida
234065046,jmzledoux,James LeDoux
805697354,West_Costa,Joseph Costa
134205644,maxbg17,Max Gross
1411712358,FayeHubie,Faye Hubregsen
2817235339,AlexandraPear43,Alexandra Pear
63145781,krisdickinson,Kristie Dickinson
1615618795,fbOpenSource,Facebook Open Source
838673862,AirbnbNerds,Airbnb Engineering
87036799,gradypb,Pat Grady
1733679762,mujtabasyed_,Mujtaba Syed
27533953,ktslemp,Kevin Slemp
2161093638,lukegeorgebc,Luke George
26004094,sophiefmiller,Sophie Miller
607,mg,Matt Galligan
805438718,dalton_danielle,Danielle Dalton
1514689064,PalantirU,PalantirU
37959591,PalantirTech,Palantir
284918890,rli519,Robbie Li
22956380,gmarsh17,Greg Marsh
2934780430,techarev,Arev Doursounian
2842236575,PointerIO,Pointer.io
16468446,ryanflorence,Ryan Florence
14850356,jjacobs22,Jason Jacobs
99121168,mscccc,Mike Coutermarsh
146312174,jay_elm,Jesse Mu
347982043,Fulton360,Fulton360
334813664,Thomas_Herer,Tom Herer
1729559335,desaitechtalk,Akash Desai
283917155,muhanzhang,Muhan Zhang
14226196,pjmcnealy,P.J. McNealy
56387587,JohnABacon,John Bacon
121628913,monroeso,Sophie Monroe
16592401,RichAberman,Rich Aberman
16582289,WePay,WePay
2263060591,intuitlabs,Intuit Labs
17104751,pschiller,Philip Schiller
20339060,trueventures,True Ventures
2425151,facebook,Facebook
1244727169,Avidest,Avidest
1732353811,venmodev,Venmo Developer
15841714,josh_steiner,Josh Steiner
94682674,AngelList,AngelList
75079616,IFTTT,IFTTT
16980060,geowyn,George Wyner
91985735,nodejs,Node.js
1566463268,reactjs,React
2249129257,hackatbrown,Hack@Brown
283996426,quantopian,quantopian
384515877,HackPrinceton,HackPrinceton
8654492,railsrumble,Rails Rumble
370266205,Paul_Hillen,Paul Hillen
1605,sama,Sam Altman
418824121,PennEngineers,Penn Engineering
125027291,substack,substack
35432643,addyosmani,Addy Osmani
209711777,rails_apps,Daniel Kehoe
2540497273,hackwithtrees,TreeHacks
9980812,igrigorik,Ilya Grigorik
9533042,BrendanEich,BrendanEich
15804774,gvanrossum,Guido van Rossum
2178012643,balajis,Balaji S. Srinivasan
2211141222,HackTheNorth,Hack the North
2244974455,alexpodobnik,Alexandar
226236086,FahiaMohh,Fahia M
