id,name,screen_name
2613918462,heyOKREAL,OKREAL
14120151,foursquare,Foursquare
52454797,SalesforceUX,Salesforce UX
6622552,mexikansan,Rafael Mojica
22717416,simonenoronha,Simone Noronha
17147849,shawnax,shawna x hello
17906924,esymai,esymai
22965207,jatecson,Ja Tecson
174339343,pingszoo,Ping Zhu
17995712,TheNewSchool,The New School
1393013696,YGDMFA,Yale GDMFA
5695032,Yale,Yale University
5694822,Princeton,Princeton University
20199373,lisamcifuentes,Lisa Cifuentes
249337904,paulsearle,Paul Searle
41131123,AIGANY,AIGA/NY
267012025,lisadesignnyc,Lisa Smith
15692778,randyjhunt,Randy J. Hunt
87532773,design,Twitter Design
17076876,LukesBeard,Luke Beard
15801064,think5577,Marc O'Brien
18107016,byalicelee,Alice Lee
18007119,amy_nicoleee,Amy Nicole Schwartz
38076154,alisonym,Alison Yard Medland
111416510,JasonBacher,Jason Bacher
106418338,abookapart,A Book Apart
20648506,PretzelCrisps,Pretzel Crisps
13334762,github,GitHub
19621110,good,GOOD
11522502,Etsy,Etsy
1683696162,WorkshopChicago,Workshop
14377870,MailChimp,MailChimp
30065033,typekit,Adobe Typekit
16726035,MorningstarInc,Morningstar, Inc.
2425151,facebook,Facebook
14843763,treehouse,Treehouse
170393291,GA,General Assembly
63359297,fbplatform,Facebook Developers
14319981,squarespace,Squarespace
1260648624,RiseoftheDEO,Rise of the DEO
191124342,GoodDsgnAdvice,GFDA
86121236,kim_knoll,Kim Knoll
16213851,justineraelee,Justine Lee
78645888,facebookdesign,Facebook Design
14669661,mgiudice,mgiudice
20418287,ThisGuy,Bryan Innes
635543,dburka,Daniel Burka
17482071,NoPattern,Chuck Anderson
22158727,IITDesign,IITInstituteofDesign
374854484,siwitte,Siena Witte
24453835,mcespo,Marvin Cespedes
121208406,XiulungChoy,
1306739612,savannahmillion,Savannah Million
516202469,mollybramlet,mollybramlet
517707003,theonlygoodalex,Alex Sheyn
7001722,fionamiller,Fiona
837004106,stratejen,Jennifer Maples
15898743,kellyknaga,Kelly Knaga
19714153,LauraHelenWinn,Laura Helen Winn
26531880,creativemorning,CreativeMornings
17636894,99u,99U
566951628,jenmakes,Jam Hansen
533498856,formandfuture,Form & Future
436016842,ADCYoungGuns,ADC Young Guns
19619047,AIGAdesign,AIGA
9313022,Behance,Behance
19039713,ADCGlobal,ADC Global Network
28088118,AIGAChicago,AIGA Chicago
20028873,jaycrimes,Jason Schwartz
54742194,bbg,Bright Bright Great
