id,name,screen_name
14474225,ManuKumar,Manu Kumar
15199091,kevinyzhang,Kevin Zhang
2730791,mkapor,Mitch Kapor
45478920,larajeremko,Lara Jeremko
44196397,elonmusk,Elon Musk
130513726,VivianHo,Vivian Horrors
441679284,thatguyBG,Brett Goldstein
21723539,joshanon,Josh Anon
5793622,quicklywilliam,William Henderson
15613432,galenmoore,Galen Moore
633238141,mjmauboussin,Michael Mauboussin
2293081477,bennett_up,Bennett Mathews
35640687,GspringVC,Ashton Newhall
15370019,wolfejosh,Josh Wolfe
9571702,pt,Parker Thompson
6878332,joshuareeves,Joshua Reeves
3255034008,WirecutterDeals,Wirecutter Deals
96821645,jimrome,Jim Rome
18079631,mattmireles,Matt Mireles
768632,ceonyc,Charlie O'Donnell
1475495658,eriktorenberg,Erik Torenberg
12841742,erictwillis,Eric Willis
21872269,laurenepowell,Laurene Powell
13061762,ryfar,Ryan Perry
1531669496,doordash,DoorDash
19219421,RolfeWinkler,Rolfe Winkler
242420985,edwinposton,Edwin Poston
344284402,Coby,Coby Fleener
16916799,joshjames,Josh James
3249381,eportnoy,Eli Portnoy
1556100662,Parcellsisms,Parcellsisms
462272156,SerikIman,Serik Kaldykulov
876288433,joelle_emerson,Joelle Emerson
243331655,JonMarino,Jonathan Marino
12570602,someshdash,Somesh Dash
395978320,typesfast,Ryan Petersen
24765973,ATKingyens,Angela Tran Kingyens
43723,kberger,Kenneth Berger
45360799,delk,Ryan Delk
57071500,omal,Brian O'Malley
21160381,tomloverro,Tom Loverro
98588767,ellenhuet,Ellen Huet
138473986,AvidanRoss,Avidan Ross
27149542,m3pols,Mark Pols
14275411,birsic,Bryan Birsic
4215921,jasonlk,Jason M. Lemkin
156981152,StevenBertoni,Steven Bertoni
190632027,blakeir,Blake Robbins
46241448,MorganSpurlock,Morgan Spurlock
14379980,pejmannozad,pejmannozad
255082242,jpfasone,Joseph Fasone
21700460,nchirls,Nicholas Chirls
14253109,adambain,adam bain
603344194,BaldingsWorld,Christopher Balding
3267900354,PaloAltoPS,PaloAlto PS [satire]
14321163,roycedisini,Royce Disini
24806770,ajkurki,Adam Kurkiewicz
741094860,sjrosenblum,Sam Rosenblum
164726768,neilcybart,Neil Cybart
18210859,ryonlife,Ryan McKillen
46446956,callmevlad,Vlad Magdalin
293815131,Shapiro,Julian Shapiro
17973378,NickPinkston,Nick Pinkston
2193616844,twobitidiot,Ryan Selkis
9976962,paigecraig,paigecraig
11892162,dkimerling,Dan Kimerling
23145378,geoffreyfowler,Geoffrey Fowler
243748197,samclamdisco,Johnny Chin
15693950,jstoffer,jstoffer
1582341876,pakalupapito,pakalu papito
5965332,davidlee,David Lee
962394086,MsSapone,Marcela
1002193814,LP2LP2VC,Trey Hart
77268813,thesuperficial,The Superficial
225117587,tomharari,tomharari
21789052,SarahFKessler,Sarah Kessler
2290002804,craigjmartin2,Craig Martin
4959461,mwalsh,mike walsh
35797161,mwhitticom,Mike Whitticom
6269262,larrymarcus,Larry Marcus
92143477,beLaurie,Bianca L. St.Louis
16061812,ricfulop,Ric Fulop
251481021,JacobJaber,Jacob Jaber
66025575,nathanjurgenson,nathanjurgenson
113719820,akilian,Michael Akilian
239570459,carmeldea,Carmel DeAmicis
57844405,ronboug,ron bouganim
7358442,normanliang,Norm Liang
798536,ewiesen,Eric Wiesen
24486938,nbt,Nikhil Basu Trivedi
117254792,lennypruss,Lenny Pruss
14180491,EllenLevy,Ellen Levy
542666345,Iiterature,Denis Nazarov
18591618,staringispolite,Jonathan Howard
6941,jyri,Jyri Engestrm
982341,tikhon,Tikhon Bernstam
85623871,dafrankel,David Frankel
28427049,keithjasper,Keith Jasper
46223,bencasnocha,Ben Casnocha
75850301,benrbn,Ben Rubin
2203341,dschol,Dan Scholnick
14275675,hunieco,Hunie
339944846,dpteran,Dan Teran
224,davepell,Dave Pell
17611064,libovness,Jonathan Libov
28380506,CapitalAK,Amir Khorram
14232711,calbucci,Marcelo Calbucci
8070502,danshapiro,Dan Shapiro
822774,marcbarros,Marc Barros
12516232,PeterHamilton,Peter Hamilton
622663,rganguly,Robi Ganguly
39055217,t_xu,Tony Xu
243390472,jorispoort,Joris Poort
14363893,Mazzeo,Matt Mazzeo
23272457,SirSteven,Steven Millward
3808981,gwendolynregina,Gwendolyn Regina T
49625543,vmalu,Malu
730644764,horwitzjosh,Josh Horwitz
17659162,jmonegro,Joel Monegro
14191945,Lammerding,Erik Lammerding
126399969,ychernova,Yuliya Chernova
40014904,wquist,Will Quist
2187906247,Weather_West,Daniel Swain
6475722,davetisch,David Tisch
35583244,ana_d_h,Ana Daz-Hernndez
204970988,michelletandler,Michelle Tandler
249888833,fazz,John Fazzolari
586,sacca,Chris Sacca
992151,davidhornik,David Hornik
19569718,spgreenwood,Stephen Greenwood
9439062,rodneysampson,Rodney Sampson
6730222,hblodget,Henry Blodget
662323,raanan,raanan bar-cohen
15293504,msquinn,megan quinn
87574888,jackdweck,Jack Dweck
14620362,christine_tsai,Christine Tsai
9729502,travisk,travis kalanick
423094645,jaltma,Jack Altman
11256152,mittal,Alex Mittal
40315309,simonrothman,simon rothman
1009511,Virtualgoodz,Simon Dawlat
15432741,ArthurLevitt,Arthur Levitt
2182641,stevenbjohnson,Steven Johnson
58828387,derek_chu,Derek Chu
2761869095,michaeljaconi,Michael Jaconi
8234302,VCSerge,sergio monsalve
18021826,jtriest,Jonathon Triest
14110443,muneeb,Muneeb Ali
14181427,daveknox,Dave Knox
202003,pkafka,Peter Kafka
19715003,JoseCanseco,Jose Canseco
126339911,KevinHalter,Kevin Halter
13986572,deborahgage,Deborah Gage
30516966,jonsakoda,Jon Sakoda
24744414,tonsing,Raymond Tonsing
22273667,sm,Sara Mauskopf
358377682,serenasaitto,serena saitto
14115912,ShiraOvide,Shira Ovide
25032655,mattwallington,Matt Wallington
17106845,kennethn,Ken Norton
5699,stewart,Stewart Butterfield
14813790,_sunilrawat,Sunil Rawat
23409407,alexrkonrad,Alex Konrad
37434855,HyattConcierge,Hyatt Concierge
457743,2pasc,Pascal Levy Garboua
566082078,JordanMendell,Jordan Mendell
20098339,alexbard,alex bard
43976252,benchmark,Benchmark
247785677,mattturck,Matt Turck
29497746,AlSaqqaf,Mohammed Al Saqqaf
78455406,ahsanhilal,Ahsan Rizvi
20565064,stephpalmeri,Steph Palmeri
24941044,ajs,Alyson Shontell
679303,ChrisSaad,Chris Saad
24775410,sequoia,Sequoia Capital
14284261,jrlevine,Jake Levine
38708874,lpolovets,Leo Polovets
166617624,tomkrazit,Tom Krazit
42872292,henrysward,Henry Ward
607,mg,Matt Galligan
18343801,michellequinn,michellequinn
14112294,benhuh,benhuh
16801053,ganeumann,Jerry Neumann
33423,gruber,John Gruber
568247551,HonestToddler,Honest Toddler
50534000,marannelson,maran nelson
13416712,adamlashinsky,Adam Lashinsky
5479802,jimscheinman,Jim Scheinman
14654777,StrictlyVC,StrictlyVC
2948211,rsg,Bobby Goodlatte
303601312,milesgrimshaw,Miles Grimshaw
70307529,vnivargi,Vaibhav Nivargi
17755042,wmougayar,William Mougayar
32322589,kittukolluri,Kittu Kolluri
454129746,4nkush,Ankush
14087951,ericflo,Eric Florenzano
8475852,zaid,Zaid Farooqui
36232059,EricNewcomer,Eric Newcomer
9011772,aprilzero,Anand Sharma
95589124,kevingibbon,Kevin Gibbon
15216569,ptraughber,Patrick Traughber
5246581,chengmatt,Matt Cheng
194694215,MITDelian,Delian Asparouhov
15130640,bsiscovick,Ben Siscovick
5215,naveen,naveen
15281972,ericvishria,Eric Vishria
7650782,siobhanquinn,Siobhan Quinn
2568108282,NickSzabo4,Nick Szabo
831831750,megerman,Mark Egerman
5520332,msuster,Mark Suster
1102,davidu, David Ulevitch 
19479427,artypapers,r.
14132828,evancharles,evan charles moore
14744734,bendavenport,Ben Davenport
33792634,andrewrsorkin,Andrew Ross Sorkin
1769191,mims,Christopher Mims
220548689,JJColao,J.J. Colao
37048677,gaganbiyani,Gagan Biyani
709143,Basti,Bastian Lehmann
20088765,jsoltero,Javier Soltero
140872924,levynews,Ari Levy
16026783,dmac1,Doug MacMillan
118917461,ryaneshea,Ryan Shea
