id,name,screen_name
65647594,StationCDRKelly,Scott Kelly
1532601,dherman76,Darren Herman
17755042,wmougayar,William Mougayar
28017255,atShruti,Shruti Gandhi
85623871,dafrankel,David Frankel
14626738,sprint,Sprint
1934317855,HorsleyBridge,Horsley Bridge
372480639,justmadhu,Madhu 
15851872,MikeDuda,Mike Duda
191098143,mamoonha,Mamoon Hamid
14834340,jayrosen_nyu,Jay Rosen 
14654777,StrictlyVC,StrictlyVC
1629336979,eholmes2003,Elizabeth Holmes
14348490,svbmark,Mark Lau
22808580,kydoh,Kyle Doherty
26609111,meredithperry,Meredith Perry
92210962,kjowong,Kimberly Wong
828991,VCMike,Mike Hirshland
25190928,katiedrumm,Katie Drummond
1586501,nickbilton,Nick Bilton
95749490,JerryRice,Jerry Rice
9728112,startupman,David Hirsch
114602310,amir,Amir Efrati
114782468,carlquintanilla,Carl Quintanilla
13213122,Deadspin,Deadspin
858957830,gswstats,GSWStats
17918338,seanludwig,Sean Ludwig
23827692,ComedyCentral,Comedy Central
1287098634,JohnChinaSVB,John China
49637104,IPOtweet,Renaissance Capital
127062637,omidkordestani,Omid Kordestani
2112,jcal7,Jon Callaghan
5732432,saarsaar,saar gur
14883821,brettking,Brett King
16002665,satishd,Satish Dharmaraj
49640770,UJAfedNY,UJA-Federation of NY
1505996959,EquityZen,EquityZen
14152596,jacobbrody,Jacob Brody
53625428,sammaule,Sam Maule
131144091,Goldman44,Jason Goldman
770702,JGut,Josh Guttman
16284386,teisenmann,Tom Eisenmann
17565514,shondarhimes,shonda rhimes
27557141,NTmoney,Nick Tomaino
2916305152,Snowden,Edward Snowden
2397,daveg,David Galbraith
14176514,MoniqueWoodard,Monique Woodard
15814902,FrankDenbow,Frank Denbow
13348,Scobleizer,Robert Scoble
1114876050,JeremyShure,Jeremy Shure
110823121,badboyboyce,Peter Boyce
9413702,nihalmehta,nihal mehta
8956182,Hadley,Hadley Harris
16350505,asanwal,Anand Sanwal
140497508,ROSGO21,Rosalyn Gold-Onwude
970207298,SenWarren,Elizabeth Warren
19949151,isardasorensen,Inga Sarda-Sorensen
14098008,fendien,Jonathan Lehr 
2207931702,MBGilroy,Michael Gilroy
27313448,tuan,Tuan Pham
2573252471,AndyGoRow,Andy Kelly
7694352,cpen,carolyn penner
14325343,witheiler,Matthew Witheiler
51910729,bdickins,Brendan Dickinson
500704345,Pontifex,Pope Francis
23995748,TheRoot,The Root
206938213,arampell,Alex Rampell
759251,CNN,CNN
373409910,YourMiddleEast,Your Middle East
