id,name,screen_name
21872269,laurenepowell,Laurene Powell
12901712,bchesky,Brian Chesky
1629336979,eholmes2003,Elizabeth Holmes
3260518932,TwitterMoments,Twitter Moments
1536811,markoff,John Markoff
13242422,davey_burke,Dave Burke
40273,benthompson,Ben Thompson
19040598,MikeIsaac,_
18839785,narendramodi,Narendra Modi
144408677,DLin71,Daniel Lin
42559115,joshm,Josh Miller
1605,sama,Sam Altman
2303751216,FiveThirtyEight,FiveThirtyEight
17997789,danariely,Dan Ariely
19058681,aplusk,ashton kutcher
1536791610,POTUS,President Obama
135421739,sachin_rt,sachin tendulkar
166739404,EmWatson,Emma Watson
3245142196,googlenewslab,Google News Lab
15414807,johnmaeda,John Maeda
6331462,jess,Jessica Verrilli
16477634,durov,Pavel Durov
1090141,backlon,Dieter Bohn
289431709,googlephotos,Google Photos
52407579,GoogleDE,Google Deutschland
9316452,xamat,Xavier Amatriain
33838201,googleresearch,Google Research
2529971,cdixon,Chris Dixon
71643224,conradhackett,Conrad Hackett
113713261,ChromiumDev,Chrome Developers
50090898,googledevs,Google Developers
17003765,GoogleforWork,Google for Work
296453816,LAAF,Arrillaga-Andreessen
14253109,adambain,adam bain
28807412,claybavor,Clay Bavor
228199663,aksingh77,Amit Singh
230287527,evanspiegel,Evan Spiegel
1159251,shervin,Shervin Pishevar
15756974,mhelft,mhelft
5418912,collision,John Collison
19725644,neiltyson,Neil deGrasse Tyson
4939401,patrickc,Patrick Collison
460593762,annewoj23,Anne Wojcicki
13416712,adamlashinsky,Adam Lashinsky
84351228,timberners_lee,Tim Berners-Lee
397673792,hosain,Hosain Rahman
5405152,dawallach,D.A. Wallach
5699,stewart,Stewart Butterfield
2195241,fmanjoo,Farhad Manjoo
15076390,Padmasree,Padmasree
20536157,google,Google
20495458,stevecheney,Steve Cheney
318063815,SebastianThrun,Sebastian Thrun
42826771,aneelb,aneel bhusri
15281972,ericvishria,Eric Vishria
2795845802,rabovitz,Rony Abovitz
93711247,AndroidDev,Android Developers
38005558,MatiasDuarte,Matias Duarte
49736166,peterthiel,Peter Thiel
9729502,travisk,travis kalanick
41814169,FareedZakaria,Fareed Zakaria
6330012,shishirmehrotra,Shishir
756129,johnolilly,John Lilly
188352302,Domotalk,Domo
98335997,AndroidPolice,Android Police
16887507,androidcentral,Android Central
1236101,BenedictEvans,Benedict Evans
2588297954,LinusUpson,Linus Upson
22387220,qhardy,Quentin Hardy
14225267,drewhouston,Drew Houston
16120265,inafried,Ina Fried
15827269,BradStone,Brad Stone
36783881,jankoum,jan koum
382267114,Android,Android
243381107,GooglePlay,Google Play
2182641,stevenbjohnson,Steven Johnson
3439831,8en,Ben Silbermann
20571756,satyanadella,Satya Nadella
275686563,verge,The Verge
283108742,nestmatt,Matt Rogers
13642652,krutal,Krutal Desai
2244340904,Recode,Re/code
18910579,lily_lin,Lily Lin
11666142,joshuatopolsky,Joshua Topolsky
20348377,jeffweiner,Jeff Weiner
33423,gruber,John Gruber
15828408,SusanWojcicki,Susan Wojcicki
1636590253,tim_cook,Tim Cook
1411434049,eventparrot,Event Parrot
1721677802,billmaris,Bill Maris
21576543,tfadell,Tony Fadell
1081,davemcclure,Dave McClure
15293504,msquinn,megan quinn
12798452,erickschonfeld,Erick Schonfeld
30098016,hbarra,Hugo Barra
27814665,GoogleVentures,Google Ventures
38679388,gmail,Gmail
32468665,googledrive,Google Drive
817288,gaberivera,Gabe Rivera
207773069,googlenexus,Nexus
5943622,pmarca,Marc Andreessen
17595439,chr1sa,Chris Anderson
808627,StevenLevy,Steven Levy
15506669,JeffBezos,Jeff Bezos
989,om,Om Malik
914061,levie,Aaron Levie
378223565,sparker,Sean Parker
657863,kevinrose,Kevin Rose
8161232,richardbranson,Richard Branson
233364902,Atul_Gawande,Atul Gawande
1113167976,robinwilliams,Robin Williams
16017475,NateSilver538,Nate Silver
44196397,elonmusk,Elon Musk
11869782,RajuMalhotra,Raju Malhotra
673483,dewitt,DeWitt Clinton
1260231,joehewitt,Joe Hewitt
166369152,forstall,Scott Forstall
10078,reidhoffman,Reid Hoffman
5017,joshu,joshua schachter
1186,chrismessina, Chris Messina 
20032100,TED_Tweets,TED Tweets
14761795,TEDchris,Chris Anderson
19506790,sherylsandberg,Sheryl Sandberg
3475,davemorin,Dave Morin
13198,markpinc,mark pincus
44771048,RonConway,Ron Conway
16242081,bhorowitz,Ben Horowitz
422,shellen,Jason Shellen
4653371,ccheever,Charlie Cheever
14480299,bling0,Benjamin Ling
26443408,etseng,Erick Tseng
11222,k,Kevin Cheng
231913673,vasanpichai,Srinivasan Pichai
