id,name,screen_name
14672466,TJClayton,TJ Clayton
24773790,emwiles,Erin M. Wiles
26203004,unisouthampton,Uni of Southampton
19446296,UniOfSurrey,University of Surrey
16656999,chattanoogafun,Chattanooga
571048427,Chattanooga,Chattanooga
831686592,CAU,Clark Atlanta
3472747515,AUCConsortium,AUCC
86165999,UNHPaulCollege,UNH Paul College
260714359,bentleygrad,Bentley Grad School
16738150,BentleyCareerSB,Susan Brennan
15741370,newschannelnine,WTVC NewsChannel 9
44213264,ChattanoogaNow,Chattanooga Now
3075439984,Like_A_Local,Like A Local
1153538011,HRSuccessGuide,HR Success Guide
3014762373,ColonialLifeNFL,Colonial Life NFL
1628771239,RobLockerman,Rob Lockerman
3073600621,CUActuarialclub,CU Actuarial Club
3256402371,WildcatsAtWork,Wildcats@Work
3346820075,ColonialKY,Colonial Life KY
2527908240,KarenLPelletier,Karen Pelletier
18942633,UnitedWayChatt,UnitedWayChattanooga
3227576059,PaulRevereNYC,Paul Revere NYC
3227489604,PaulRevereUNY,Paul Revere UNY
3300688678,PaulRevereHV,Paul Revere HV
3254417043,ColonialLifeNCA,Colonial Life NCA
3248072883,ColonialLifeWA,Colonial Life WA
3308443306,ColonialLifeNJ,Colonial Life NJ
3300602277,ColonialLifeSNE,Colonial Life SNE
3308376933,ColonialLifeSC,Colonial Life SC
3308435105,ColonialLifeGA,Colonial Life GA
3308445059,ColonialLifeKY,Colonial Life KY
3308476407,ColonialLifeMS,Colonial Life MS
3308483559,ColonialLifeAL,Colonial Life AL
3308606819,ColonialLifeSFL,Colonial Life SFL
473968059,LoriBetts1,Lori Betts
2505847824,cglidde1,Charlene Glidden
1670443884,mcg_unumnews,MC Guenther
19806349,alisonmays,Alison Mays
3308450489,ColonialLifeTN,Colonial Life TN
3308371035,ColonialLifeNC,Colonial Life NC
3308657638,ColonialLifeCFL,Colonial Life CFL
3120296076,dad3munchkins,Blake Rogers
3294200673,ColonialLifeIN,Colonial Life IN
3299158527,ColonialLifeMI,Colonial Life MI
3297783811,RecruitColonial,Nicole Brown
1596596126,WPIVeterans,WPI Veterans Affairs
262277756,WPIGoatFeed,WPI Goat Feed
15492353,WPIAdmissions,WPI Admissions
17594317,WPIAlumni,WPI Alumni
43906661,RMUnow,RMU Now!
18148669,SmealCollege,Penn State Smeal
256614868,colbyalumni,Colby College Alumni
3294288676,ColonialLifeCHI,Colonial Life CHI
3227572291,ColonialLifeWPA,Colonial Life WPA
3300640241,ColonialLifeNNE,Colonial Life NNE
3308410505,ColonialLifeDC,Colonial Life DC
