id,name,screen_name
383668576,cmorfakis,ConstantinosMorfakis
126110571,TheDarkKnightGr,The Batman
849412567,SaturdayRTE,SaturdayRTE
856010760,GuyVerhofstadt,Guy Verhofstadt
317876744,Haris_Xenarios,Haris Xenarios
116925791,johndof11, Do
159195305,gavgero,Yorgos Avgeropoulos
93289584,BigViews,The Big View 4U!
74486614,PeggyDobbins,Peggy dobbins
126410054,zoemavroudi,Zoe Mavroudi
234057449,ptilve,Priyanka Tilve
371846977,GeorgeBourchas,George Bourchas
2868092350,jailbreakart,Maria Papanikolaou
2472090800,Forza_Roma_OO,Roma nel Cuore
1968475471,J_K_Galbraith,J K Galbraith
26010360,StrothmanAgency,Strothman Agency
276979877,kakrivo,katerinaakrivopoulou
2292454922,tsipras_eu,Alexis Tsipras
20192275,TheLBJSchool,The LBJ School
337853585,FTI_US,Franklin Templeton
1072038426,TomBowk,Tom Bowker
524054356,PhillipAdams_1,Phillip Adams
1037152662,stephanygj,S Griffith-Jones
56169454,Dannythefink,Daniel Finkelstein
2356714968,HyunSongShin,Hyun Song Shin
490647206,th_stamatiou,Theodoros Stamatiou 
54955991,rebeccawire,Rebecca Christie
60490158,stathistompaidi,Stathis Tompaidis
403331236,nikospappas16, 
2354381073,kolastirio, 
2349384104,danaestratou,Danae Stratou
857215808,priftis_sp,spyros priftis
2148743954,wizzpop_123,xenia varoufaki
612577624,LyndseyStonebri,Lyndsey Stonebridge
393458077,2Dorotea,Dorotea Mercuri
1960825746,AmbroseEP,A Evans-Pritchard
25296448,ZeroCoolGR,Zerool
538682413,WritingFactory,Jeffrey Robinson
16999980,chrisdavis31,chrisdavis31
18053134,nbakopoulos,Natalie Bakopoulos
15637549,Ansel,Ansel
17340546,fotoole,Fintan O'Toole
1963312058,JosephEStiglitz,Joseph E. Stiglitz
134827342,Landonthomasjr,Landon Thomas Jr.
14157134,Peston,Robert Peston
517527227,WhelanKarl,Karl Whelan
17676510,OlafStorbeck,Olaf  Storbeck
17820947,davidmcw,David McWilliams
18614397,FOTO8,JonLevy
439437576,COdendahl,Christian Odendahl
10257602,teacherdude,Teacher Dude
22904901,editeestrela,Edite Estrela 
194521369,LookLeftMag,LookLeft 
246941871,IrateGreek,Theodora Oikonomides
403657708,PORTAPORTA, . 
18190590,MSFgreece,  
61249886,DanielEllsberg,Daniel Ellsberg
240442569,ypopto_mousi,ypopto_mousi
44596522,jb_roch,Jean-Baptiste Roch
249362307,ZynpDyr,Zeynep
292906479,PavlinaProteouS,PavlinaProteou
312790379,agisls, 
708694554,standup4burrup,standupfortheburrup
166143203,TariqAli_News,Tariq Ali
125071209,pdegrauwe,Paul De Grauwe
245320407,GerryAdamsSF,Gerry Adams
143220584,Yiolantakilife,_
201226212,TechieChan,Wasteinc
39595234,mathiasks,Mathias Koch Strde
485694429,VeblenInstitute,Veblen Institute
78768913,profwolff,Richard D. Wolff
394673011,JM2020v,Jason Manolopoulos
216790628,pluversum,beral madra
36389300,LynnParramore,Lynn Parramore
